name,age,job,nationality,description,"
"
Alimata Bara,24,Trader,Burkinabe,"Alimata is from Beguedo, a small village in Eastern Burkina Faso, and is married to an economic migrant working in Italy. Since their marriage in 2009, her husband has only returned twice. She thought marrying a migrant would allow her to escape the hardships of rural life, and that she would join him abroad, but instead she spends her time waiting and looking after their two children.","
"
Sana Ben Ashour,60,Civil society activist,Tunisian,"Sana founded women's shelter BEITY (Arabic for My Home) in 2012, motivated by the need for justice and equality for women in her society. It is a unique association in Tunisia that helps single mothers and other women in need, including victims of poverty and domestic violence.","
"
Nicola Benedetti,28,Musician,British,"One of the most sought after violinists of her generation, Nicola is fiercely committed to music education and to developing young talent. She is an ambassador for Sistema Scotland’s Big Noise project and vice president of the National Children's Orchestra of Great Britain. She has also developed her own education initiative, The Benedetti Sessions.","
"
Meryl Benitah,26,Entrepreneur,French,"Meryl set up La Boite Qui Cartonne, a decluttering service, after studying at the Sorbonne. The company delivers boxes to be packed by the customer which are then taken away and stored, to be re-delivered at any time. Meryl features in our '30 under 30' strand.","
"
Fatou Bensouda,54,"Chief Prosecutor, ICC",Gambian,"The chief prosecutor of the International Criminal Court (ICC) in the Hague, she is the first African to hold a top post at the ICC. She previously served as a civil servant in the Gambian government, and is the recipient of many awards for her work in criminal law. Fatou features in our '100 Women interviews' strand.","
"
Asha Bhosle,82,Singer,Indian,"A singing legend who started working in Bollywood in 1943, Asha features in the Guinness Book of Records as the most recorded artist in music history. As a playback singer, she has recorded songs to be mimed in 1,000 films by hundreds of actresses.","
"
Cecilia Bouzat,53,Biophysicist,Argentinian,"Cecilia is a scientist who has made a significant contribution to our understanding of how brain cells communicate among themselves and with muscles. Her work has opened the door to potential new treatments for Alzheimer's disease, depression and certain addictive behaviours.","
"
Bobbi Brown,58,Make-up entrepreneur,American,"A professional make-up artist who founded the successful Bobbi Brown Cosmetics brand in the early 1990s. Sick of red lipstick, she was interested in celebrating rather than altering women's features, and forged a more natural look. Bobbi features in our '100 Women interviews' strand.","
"
Naomi Bya’Ombe,15,Schoolgirl,Congolese,"Naomi lives in Kinshasa, DRC, and likes singing and dancing. Naomi is the fifth child out of seven and also lives with two of her cousins. She is currently finishing secondary school and sings in the church choir every Sunday. Naomi appears in our 'Good girl' film-makers strand.","
"
Rivka Carmi,67,Geneticist,Israeli,"Professor Rivka Carmi is president of Ben-Gurion University of the Negev, the first female president of an Israeli research university. A world-renowned geneticist and a pediatrician by training, she began the study of genetic diseases in the Bedouin community, which has led to a drastic reduction in infant mortality rates.","
"
Massiel Chávez,15,Schoolgirl,Venezuelan,"Massiel wants to be a vet when she is older and is a keen user of social media. Now that she is 15 - traditionally considered the start of adulthood in Latin America - she is excited she will be allowed to paint her nails, wear make-up, and, she hopes, go out to parties alone. Massiel appears in our 'Good girl' film-makers strand.","
"
Eveles Chimala,29,Midwife,Malawian,"After working in one of the busiest hospitals in Malawi, Eveles decided to go back to studying to help her country tackle its high maternal mortality rate. She studies the partograph - a tool designed to help midwives in under-resourced hospitals in Africa monitor women as they give birth. Eveles features in our coverage focusing on nursing across the world.","
"
Estela de Carlotto,84,Activist,Argentinian,"Estela is president of The Grandmothers of the Plaza de Mayo, which reunites biological grandparents with people snatched as babies in prisons and torture centres by the 1976-83 military junta. In August 2014, she was reunited with her grandson Ignacio in one of the most emotional scenes of Argentina's recent history.","
"
Nkosazana Dlamini-Zuma,66,"Chair, African Union Commission",South African,"A trained medical doctor, Nkosazana is the chairwoman of the African Union Commission based in Addis Ababa, Ethiopia. Initially an ANC activist who spent some of the apartheid years in exile, she went on to enter politics, joining the AU in 2012 and is the first woman to head the organisation.","
"
Isabel dos Santos,42,Investor,Angolan,"Isabel dos Santos is an investor and - according to Forbes - the richest woman in Africa. She is the eldest daughter of Angolan President Jose Eduardo dos Santos, and has investments in oil and gas, banking, telecoms and media companies.","
"
Leimin Duong,28,Entrepreneur,Australian,"Leimin established Zeven Lemon Beerworks with no prior industry experience and is on a mission to bring fresh perspective into the beer world, with fruity beers that ""defy convention"". The company’s strawberry-flavoured brew has a wide distribution network across Australia. Leimin appears in our '30 under 30' strand.","
"
Ernestina Edem Appiah,38,Social entrepreneur,Ghanaian,"Ernestina (Tina) is the founder of the Ghana Code Club, which works to equip Ghanaian children between the ages of 8 and 14 years with coding skills. She wants to launch Ghana Code Club in most, if not all, basic schools in Ghana.","
"
Aissa Edon,33,Midwife,French,"Aissa is a midwife who specialises in dealing with female genital mutilation (FGM). Born in Mali but raised in France, she was subjected to FGM as a child. She currently works in London helping women who may have problems during pregnancy and giving birth as a result of FGM. Aissa features in our coverage focusing on nursing across the world.","
"
Jana el-Hassan,30,Novelist,Lebanese,"An emerging young voice from the Middle East, Jana shook off the constraints of her rural background to publish her first novel Forbidden Desires in 2009 and won the local Simon Hayek Prize. Both of her later novels were shortlisted for the International Prize for Arab Fiction in 2013 and 2015. Her work is being translated into English and Italian.","
"
Nawal el-Sadaawi,85,Writer,Egyptian,"A world-renowned author of more than 40 books, and a passionate advocate of women's rights in her homeland, her books have been highly influential for Egyptian women. Her controversial work Women and Sex, which was banned in Egypt for nearly two decades, raised awareness of female sexuality and female genital mutilation. Nawal features in our 'Vintage ladies' strand.","
"
Paula Escobar,47,Magazine editor,Chilean,"Paula has been changing the way women are portrayed in the local media by clamping down on Photoshop manipulation. Paula was named a Young Global Leader by the World Economic Forum in 2006, and oversees six weekly magazines. Paula took part in our 'Is media failing women?' debate.","
"
Monir Farmanfarmaian,91,Artist,Iranian,"Monir is a contemporary artist who has been making intricate geometric sculptures and works on paper for the last 40 years. She spent 26 years in exile in the US as a result of the 1970s Islamic Revolution, returning to Tehran in 2004.","
"
Claire Fox,55,Writer and broadcaster,British,"Claire is a writer, broadcaster and columnist. She is also the director of the Institute of Ideas, which she set up in order to challenge ""established orthodoxies"" and which organises public debates on controversial topics. Claire took part in our 'Is media failing women?' debate.","
"
Elissa Freiha,25,Entrepreneur,Emirati,Elissa is the co-founder of WOMENA which aims to empower women to invest in tech start-ups based in the Middle East. She was recently named as one of Forbes' Middle East's Inspiring Business Leaders of the UAE. Elissa appears in our '30 under 30' strand.,"
"
Uta Frith,74,Psychologist,German,Uta is Emeritus Professor of Cognitive Development at University College London. She is best-known for her work on autism and dyslexia and is currently chairwoman of the Royal Society’s Diversity Committee.,"
"
Melanie Goldsmith,26,Entrepreneur,British,Melanie's alcoholic sweets are now sold in high-end London high street stores after she made them for a dating event. Her company Smith and Sinclair has created edible cocktails for more than 32 brands of alcohol. Melanie appears in our '30 under 30' strand.,"
"
Alina Gracheva,45,Camerawoman,Moldovan,"Alina found herself in a very male-dominated environment when she started her career as a camerawoman 15 years ago. She has covered Chechnya, Afghanistan, Iraq and the Beslan school siege, and now works for Al-Jazeera.","
"
Megan Grano,37,Comedian,American,"One third of viral comedy trio The BreakWomb, Megan along with Molly Erdman and Laurel Coppock makes a sketch a week for YouTube about the trials of motherhood. Megan is also a writer, actor and director who regularly appears in sketches on American late night talk show Conan.","
"
Alice Gray,23,Blogger,British,"Alice Gray graduated from Cardiff University with a BSc in Neuroscience in 2013 and has been blogging ever since. Her blog, mind-ful.blogspot.co.uk, discusses issues which women face in science, technology, engineering and maths ('Stem' subjects). She aims to improve the number of women in the industry and has been involved in inquiries into Stem education in Wales.","
"
Sara Jane Ho,29,Entrepreneur,Hong Kong Chinese,"Sara Jane founded Institute Sarita which runs two etiquette schools in China teaching the importance of manners and etiquette in Chinese culture, especially in the business world. She plans to expand her brand into a lifestyle network. Sara Jane features in our '30 under 30' strand.","
"
Michaela Hollywood,25,Fundraiser,British,"Michaela, who has the congenital muscle wasting condition Spinal Muscular Atrophy, has been recognised by the UK prime minister for her services to young disabled people. The student from County Down in Northern Ireland has raised more than £10,000 ($15,180) for charity, but has also encouraged hundreds of others to fundraise themselves.","
"
Ella Ingram,21,Campaigner,Australian,"Ella is challenging an $18.5-billion insurance giant over its decision to reject her travel insurance claim after she was hospitalised at the age of 17 with depression. Her case, an Australian-first, will have ramifications for thousands of others as it tests the lawfulness of discrimination on the grounds of mental illness.","
"
Ayesha Ishtiaq,17,Schoolgirl,Pakistani,Ayesha is a Year 12 student from Islamabad who is passionate about tackling the sexism she sees in her society. She conducts feminist and human rights talks with friends and plans to study journalism or women's studies in the US before returning to Pakistan to help others. Ayesha appears in our 'Good girl' film-makers strand.,"
"
Somayya Jabarti,44,Newspaper editor,Saudi Arabian,"Somayya leads the Saudi Gazette, a Jeddah-based English daily, as Saudi Arabia's first ever female editor in chief. It is rare for female journalists to be promoted to such a public position in Saudi Arabia. When she took the job, she said that ""there's a crack that has been made in the glass ceiling. And I'm hoping it will be made into a door"". Somayya took part in our 'Is media failing women?' debate.","
"
Azza Jadalla,27,Nurse,Palestinian,"Azza is one of the youngest heads of a hospital ward in Gaza City's Shifa practice. The daily challenges of life in Gaza, including electricity cuts and chronic shortages, make her job in the haematology ward especially tough. Azza features in our coverage focusing on nursing across the world.","
"
Misraa Jimaa,Health extension worker,nality: Ethiopian,lm here,"Misraa received a year's training in preventative health care and now works in a local community. She helps educate local people about health issues, family planning, vaccinations and nutrition, and works particularly with mothers and young children. Misraa features in our coverage focusing on nursing across the world.","
"
Samantha John,29,Entrepreneur,American,"Samantha is the CTO and co-founder of Hopscotch, a mobile app enabling children to create and share their own mobile games. Samantha studied applied maths and then worked as an engineer before realising she preferred programming. Samantha appears in our '30 under 30' strand.","
"
Kamini Kaushal,88,Former Bollywood actress,Indian,"The Vivienne Leigh of her generation in Bollywood, Kamini has acted in more than 100 films. She was the leading actress in Neecha Nagar which won best film in Cannes in 1946 - the first Indian film to do so. Kamini features in our 'Vintage ladies' strand.","
"
Tahmina Kohistani,26,Sprinter,Afghan,"A 100 metres runner, Tahmina was Afghanistan's only representative at the 2012 London Olympics despite facing fierce opposition in her home country. She failed to make it to the first round but achieved a personal best in the preliminary trials and has postponed her wedding to take part in next year's Olympics in Brazil.","
"
Rimppi Kumari,32,Farmer,Indian,"Rimppi Kumari is a farmer who, along with her sister Karamjit, took over a 32-acre farm in Rajasthan after their father died. She is the boss, while her older brother, who is married with children, takes a back seat role.","
"
Linda Kwamboka,27,Entrepreneur,Kenyan,"Linda co-founded MFarm Ltd which aims to empower farmers both in Kenya and around the globe. The company provides farmers with a transparency tool which gives them up-to-date market information, aggregates farmers' needs and orders, and connects them so they can sell collectively. Linda appears in our '30 under 30' strand.","
"
Dame Tina Lavender,49,Midwife,British,"Tina is one of the world's top experts in midwifery, specialising in the management of prolonged labour and the use of the partograph - a tool designed to help midwives monitor births. She acts as an advisor to the World Health Organisation and developed a board game designed to increase the use of the tool in Africa. Tina features in our coverage focusing on nursing across the world.","
"
Zihan Ling,28,Entrepreneur,Chinese,"Zihan is the founder and CEO of TechBase, the first tech accelerator for women-led start-ups in China. She is keen to improve gender equality in the technology industry and has initiated the first Lean In tech mentorship programme in China. Zihan appears in our '30 under 30' strand.","
"
Lt Cdr Zimasa Mabela,38,Naval captain,South African,"Zimasa grew up in the rural Eastern Cape of South Africa and did not see the sea until she was 18 years old. Inspired by a navy presentation at university, she applied for and won her first job as a radio control official in 1999. She lives in Cape Town.","
"
Emi Mahmoud,22,Poet,Sudanese-American,"A poet and activist originating from Darfur, Emi Mahmoud is the reigning World Poetry Slam Champion of 2015. Emi is in her final year at Yale University studying anthropology and molecular biology. Her goal is to alleviate structural disparities in maternal and child health and to empower women across the world through poetry and the power of voice.","
"
Catherine Mahugu,27,Entrepreneur,Kenyan,"The founder of Soko, an e-commerce platform which allows local artisans to sell handcrafted jewellery directly to the consumer. Her aim is to promote direct trade between African designers and customers worldwide. Catherine features in our '30 under 30' strand.","
"
Amara Majeed,18,Activist/author,American,Amara wrote The Foreigners in an attempt to eradicate stereotypes about Muslims. At 16 she founded The Hijab Project which encourages Muslim and non-Muslim women to try wearing the garment and share their experiences on social media.,"
"
Nemata Majeks-Walker,68,Activist,Sierra Leonean,"In 2001, Nemata founded the 50/50 Group of Sierra Leone which encourages and empowers the country’s women to participate in politics. The organisation became the first African group to win the coveted Madeleine Albright Award, in 2007.","
"
Katrine Marcal,32,Economist,Swedish,"Katrine is the author of Who Cooked Adam Smith's Dinner?, a feminist view of economics, shortlisted for the August Prize and the winner of the Lagercrantzen Award. She is also the lead editorial writer for the Swedish newspaper Aftonbladet.","
"
Karabo Mathang,28,Entrepreneur,South African,Karabo is South Africa's first female Fifa-accredited soccer agent. She founded P Management to scout for amateur talents and help them to win professional contracts. Karabo features in our '30 under 30' strand.,"
"
Muniba Mazari,28,Artist and anchorwoman,Pakistani,"Muniba, who lost the use of her legs in a car accident seven and a half years ago, is Pakistan's first wheelchair-bound model and the first wheelchair-bound anchor working for the country’s state channel. She began painting while still in hospital and hopes to spread the message of hope through her work.","
"
Jessy McCabe,17,Schoolgirl,British,"Jessy is in her final year of school and is currently studying for her A Levels in music, maths and history. After realising she was not studying even one female composer as part of her music A Level, she successfully petitioned the largest exam board in the UK to change the syllabus.","
"
Sania Mirza,28,Tennis player,Indian,Sania is currently ranked the world's women's doubles number one. She is one of India's most successful tennis players and in 2015 was both the Wimbledon and US Open women's doubles champion. Sania features in our '100 Women interviews' strand.,"
"
Brit Morin,29,Entrepreneur,American,"Brit is the founder and CEO of Brit + Co, a new media and commerce company. The company aims to enables creativity among women and girls through online classes and do-it-yourself kits. Brit appears in our '30 under 30' strand.","
"
Smriti Nagpal,25,Entrepreneur,Indian,"Smriti was inspired by her work as a sign language interpreter in India, which has the largest deaf population in the world, to set up Atulyakala. The organisation sells products like bags, mugs, wallets and journals by deaf designers. Smriti features in our '30 under 30' strand.","
"
Pauline Ng,29,Entrepreneur,Singaporean,Pauline teamed up with her mother in 2009 to set up an award-winning facial spa called Porcelain. It encourages customers to stop wearing foundation so their skin can breathe. Pauline appears in our '30 under 30' strand.,"
"
Delaney ,17,Schoolgirl,American,"Delaney and her boyfriend are expecting a baby in April. She lives with her mum in a small village outside Madison, Wisconsin, and is still at school. Delaney appears in our 'Good girl' film-makers strand.","
"
Bel Pesce,27,Entrepreneur,Brazilian,Bel returned to Brazil to launch her own company after graduating from the Massachusetts Institute of Technology. FazINOVA is a business school offering free online courses. Bel features in our '30 under 30' strand.,"
"
Verashni Pillay,31,Newspaper editor,South African,"Verashni is editor in chief of the Mail & Guardian, South Africa's premier independent investigative publication. She has also received the CNN African Journalism Award, a Standard Bank Sikuvile Award and an Open Society Foundation journalism fellowship. Verashni took part in our 'Is media failing women?' debate.","
"
Irina Polyakova,54,Paralympian,Russian,"Three-times world champion in skiing, including gold medal winner at the Winter Paralympics in 2006 for the cross-country event. Irina is also a medal winner for swimming, biathlon and arm wrestling, and works as a coach.","
"
Elsa Prieto,27,Entrepreneur,Franco-Spanish,"Technical director and co-founder of Pili Pop, a language learning app for children focused on oral skills and total immersion. Pili Pop English has been downloaded more than 500,000 times and the company has just released Pili Pop Español for learning Spanish. Elsa appears in our '30 under 30' strand.","
"
Cristina Randall,29,Entrepreneur,Canadian,"Cristina moved from Canada to Mexico and founded Conekta, an online payment system. It is designed to allow businesses that normally lack access to the usual commercial channels, such as outdoor markets, to move their transactions online. Cristina features in our '30 under 30' strand.","
"
Claire Reid,29,Entrepreneur,South African,Claire designed Reel Gardening in a bid to simplify gardening. The company provides biodegradable strips which anchor the seeds at the correct depth and distance apart and so just need to be planted and watered. Claire appears in our '30 under 30' strand.,"
"
Jenni Rhodes,83,Textile designer,British,"Jenni is a recently retired model, former actress and fashion designer, and is still working hard. At an age when many people are in comfortable retirement, she has started a new career as a textile designer. Jenni features in our 'Vintage ladies' strand.","
"
Nikita Ridgeway,29,Entrepreneur,Australian,"Nikita is the founder and CEO of Dreamtime Ink Australia, the only company specialising in Aboriginal tattoos. She is also the owner of Boss Lady Creative Design Agency which aims to provide Aboriginal designs at affordable prices. Nikita features in our '30 under 30' strand.","
"
Neyda Rojas,52,Nun,Venezuelan,"Venezuela has some of the most understaffed, under-resourced and overcrowded jails in the world, and Neyda has been visiting them for 17 years. She is known as ‘the white drop’ - a reference to her nun’s habit. In addition to teaching history and maths to the inmates, she has been involved in kidnapping mediation, delivering babies, and helping the sick.","
"
Lubov Russkina,22,Nomad,Russian,"Lubov lives in Surgut, Siberia, and is part of a reindeer nomad tribe that has been in the area since ancient times. Lubov is now facing a common decision that many young girls in her tribe have to confront - to stay as a nomad or to leave for a more urban life. Lubov appears in our 'Good girl' film-makers strand.","
"
Rabia Salihu Said,52,Physicist,Nigerian,"Rabia is a physicist who has been involved for the last 30 years with national and local projects which encourage young people to enter the field of science. A mother of six, she received the Elsevier award in 2015 for her work on climate and deforestation.","
"
Amina Sboui,21,Writer and activist,Tunisian,"Amina made headlines in 2013 by publishing a topless photograph of herself on Facebook with “my body belongs to me and is not the source of anyone’s honour” written across her torso. After being jailed for feminist graffiti Amina went to Paris to study. She has recently returned to Tunisia, where she edits and publishes a feminist magazine.","
"
Lorrana Scarpioni,25,Entrepreneur,Brazilian,"The founder of Bliive, a sharing economy site which allows people to swap expertise rather than doing jobs for money. After a successful launch in Brazil, she is now expanding into Europe. Lorrana features in our '30 under 30' strand.","
"
Louise Schwartz,87,Former showgirl,Jamaican,"Louise is a former bar owner who partied with her next door neighbour Hugh Hefner and ran a popular bar in the 1980s open to both gay and straight patrons - unusual for that time in Jamaica. Now in her late 80s, she struggles to make ends meet but still refuses to call it a night. Louise features in our 'Vintage ladies' strand.","
"
Baroness Patricia Scotland,60,Trade envoy,British,"Patricia is a British barrister and former UK attorney general. She was appointed Britain’s first black female Queen’s Counsel in 1991, is currently Britain’s trade envoy to South Africa and is the founder of the Corporate Alliance Against Domestic Violence.","
"
Mumtaz Shaikh,33,Campaigner,Indian,"After decades of women being charged to use urinals in India, despite the fact they are free for men, she succeeded in providing free facilities for women through the Right to Pee network. She ensured 96 toilets were free for women to use in Mumbai and made the government set aside 50 million rupees ($770) to build female-only urinals around the city.","
"
Nareen Shammo,28,Activist/journalist,Iraqi,"Nareen has dedicated herself to trying to free Yazidi slave women captured by so-called Islamic State militants. The former journalist has saved hundreds of women of the Yazidi population - an ethno-religious group - who were raped, sold on slavery markets and forced to convert to Islam.","
"
Rasha Shehada,29,Manufacturing director,Palestinian,"The managing director of Diamond Line FZE, a family-owned hotel equipment supplies business in the UAE. The company started specialising in hotel supplies and now also has a manufacturing plant which produces chafing fuels which can be burned in small canisters and used for heating food. Rasha features in our '30 under 30' strand.","
"
Zuzanna Stanska,27,Entrepreneur,Polish,"Zuzanna runs a creative consultancy for cultural institutions and museums that allows visitors to interact with the art on display via a mobile app. She is also the creator of another app, DailyArt, which gives the user a chance to learn about one art masterpiece a day. Zuzanna features in our '30 under 30' strand.","
"
Michelle Sun,28,Entrepreneur,Hong Kong Chinese,"After a stint in Silicon Valley, Michelle returned home to Hong Kong to found First Code Academy which introduces coding and computer programming into schools. The academy also provides courses on computer literacy for young children. Michelle features in our '30 under 30' strand.","
"
Hilary Swank,41,Actor,American,"Hilary is an American actress and producer. She is the winner of two Academy and Golden Globe Awards for Best Actress (Boys Don't Cry, Million Dollar Baby). She is renowned for her portrayal of strong, sometimes troubled characters. Hilary features in our '100 Women interviews' strand.","
"
Julie Sygiel,27,Entrepreneur,American,Julie has used her chemical engineering background to develop a patent-pending fabric for knickers which helps protect against menstruation and minor incontinence leaks. Dear Kate specialises in high-performance underwear in a range of different styles and colours. Julie appears in our '30 under 30' strand.,"
"
Rotana Tarabzouni,26,Singer/songwriter,Saudi Arabian,"Rotana came to international prominence two years ago when she leant her voice to the Women's Driving Campaign in Saudi Arabia. Currently living in LA, she sings about the challenges back in Saudi, and the Arab world generally, and is planning to soon go home to face up to her critics.","
"
Kanika Tekriwal,27,Entrepreneur,Indian,"After being diagnosed with cancer in her early 20s, Kanika was determined to make her mark. She established India’s first and only marketplace for private jet and helicopter charters. Kanika features in our '30 under 30' strand.","
"
Lizanne Teo,24,Entrepreneurs,Singaporean,"Lizanne is the co-founder of Upsurge, an events company specialising in rock concerts. Upsurge handles every aspect of the business, from logistics and operations to production and public relations, despite being a start-up with limited financial resources. Lizanne appears in our '30 under 30' strand.","
"
Jana Tepe,29,Entrepreneur,German,"Jana is founder and CEO of Tandemploy, a job-sharing platform. It is designed to allow people interested in job sharing to find their counterparts and get in touch with companies offering job sharing opportunities. Jana appears in our '30 under 30' strand.","
"
Li Tingting,26,Campaigner,Chinese,"Li was detained earlier this year and is still on probation. She has staged many high-profile campaigns, including parading the streets in a wedding dress splashed with fake blood to increase awareness of domestic violence. In April she and her gay partner held an unofficial wedding ceremony even though gay marriage is prohibited in China.","
"
Sophie Walker,44,Women's Equality Party leader,British,"Sophie is the leader of the Women’s Equality Party, a new collaborative force in British politics, which believes women should enjoy the same rights and opportunities as men. She worked as an international news agency journalist for nearly 20 years and is also an ambassador for the National Autistic Society, campaigning for better support and understanding of autism, particularly in women and girls.","
"
Alek Wek,38,Model/UN ambassador,Sudanese,"One of the world’s most recognisable models, Alek grew up during the Second Sudanese civil war before her family sought refuge in Britain in the 1990s. She pursued a career in modelling and quickly rose to the top of her profession. As UN goodwill ambassador she makes regular trips to South Sudan's refugee camps. Alek features in our '100 Women interviews' strand.","
"
Xian Xu,28,Entrepreneur,Chinese,"Xian co-founded Cuisines Sous Vide restaurant chain in China in March 2015, in a bid to tap into the lifestyle tastes of young middle class Chinese. The chain utilises the sous vide method of cooking, a popular restaurant technique that involves cooking food slowly in airtight plastic bags at very low temperatures. Xian appears in our '30 under 30' strand.","
"
Tin Tin Yu,89,Retired teacher,Burmese,Tin Tin is a former English teacher in several Burmese state schools and the American International School in Yangon. She opened her own kindergarten after she retired. She is a keen athlete and sports fan who almost never misses a Manchester United match. Tin Tin features in our 'Vintage ladies' strand.,"
"
Marie-Ange Zimndou Koutou,42,Nurse's aide,Central African Republic,"Marie-Ange has been working in the paediatrics department of a hospital run by Medecins Sans Frontieres in rural Kabo for the last nine years. Health workers are scarce in CAR, and having had just three months of training Marie-Ange does much of the work a fully qualified nurse would do elsewhere in the world. Marie-Ange features in our coverage focusing on nursing across the world.","
"
'Nour' ,Refugee,nality: Syrian,ory here,"One of three sisters who have lived in Raqqa, Syria, all of their lives, including during its recent rule by the so-called Islamic State. Nour (not her real name) escaped Raqqa in recent weeks, leaving her elder and younger sisters behind, and has explained to us about the pressures on girls under the extremist group’s rule. Nour appears in our 'Good girl' film-makers strand.","
"
